generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile
280,43,True,0.7538828023529414,[-35.506953001263355],[0.0],[8.637124108414558e-05],0.0,-99.61403320067757,11.571726293818301,26.042972521144694,24,0.11385592206608039,17,True,0.75
281,44,True,0.7538828023529414,[-35.506953001263355],[0.0],[8.637124108414558e-05],0.0,-99.61403320067757,11.571726293818301,26.042972521144694,24,0.11385592206608039,17,True,0.75
282,45,True,0.7522757250420169,[-35.25909106909194],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,11.571726293818301,22.79139594887299,24,0.11264612604627859,17,True,0.75
283,46,True,0.7584272990476191,[-26.643720135689023],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,20.792394587575657,24,0.06432262534405866,18,True,0.75
284,47,True,0.7603187085714286,[-23.679596960872686],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,22.08629333507472,24,0.050806894247896646,18,True,0.75
285,48,True,0.7577529464661655,[-23.71037458210003],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,21.915369426573523,24,0.05093905287974708,19,True,0.75
286,49,True,0.7577529464661655,[-23.71037458210003],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,21.915369426573523,24,0.05093905287974708,19,True,0.75
287,50,True,0.7577400878195488,[-23.71037458210003],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,21.909607876601648,24,0.05093905287974708,19,True,0.75
288,51,True,0.7577400878195488,[-23.71037458210003],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,21.909607876601648,24,0.05093905287974708,19,True,0.75
289,52,True,0.7577400878195488,[-23.71037458210003],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,21.909607876601648,24,0.05093905287974708,19,True,0.75
290,53,True,0.7577400878195488,[-23.71037458210003],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,21.909607876601648,24,0.05093905287974708,19,True,0.75
291,54,True,0.7577400878195488,[-23.71037458210003],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,21.24514372733203,24,0.05093905287974708,19,True,0.75
292,55,True,0.7577400878195488,[-23.71037458210003],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,21.24514372733203,24,0.05093905287974708,19,True,0.75
293,56,True,0.7556174848571429,[-23.741152203327374],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,20.97784654581828,24,0.0510713831735834,20,True,0.75
294,57,True,0.7548014604081632,[-23.648819339645343],[0.0],[8.637124108414558e-05],0.0,-85.53593744420641,2.01438473059261,22.32653697436396,24,0.050674907278032096,21,True,0.75
295,58,True,0.755056683537415,[-23.648819339645343],[0.0],[8.637124108414558e-05],0.0,-61.09929078017285,2.01438473059261,19.229238129476766,24,0.050674907278032096,21,True,0.75
296,59,True,0.7387496780952381,[-12.114880223813998],[0.0],[8.637124108414558e-05],0.0,-61.09929078017285,2.01438473059261,18.439072388692296,24,0.013644374903838845,21,True,0.75
297,60,True,0.7397666876190476,[0.1937552272006542],[3.3469758879722212e-06],[9.270281143731326e-05],2.388576277749256e-06,-61.09929078017285,2.01438473059261,19.68206156004326,24,3.7458121627234966e-06,21,True,0.75
298,61,True,0.7477990355844156,[-2.5777652086868557],[0.0],[9.270281143731326e-05],0.0,-61.09929078017285,2.01438473059261,20.013279111941127,24,0.0006630188188222344,22,True,0.75
299,62,True,0.7477990355844156,[-2.5777652086868557],[0.0],[9.270281143731326e-05],0.0,-61.09929078017285,2.01438473059261,20.013279111941127,24,0.0006630188188222344,22,True,0.75
300,63,True,0.7456540469047619,[0.25447036840830606],[4.718023715787767e-06],[9.949852683035662e-05],4.4221191632349565e-06,-61.09929078017285,2.01438473059261,20.241279950857898,24,6.9348539969034325e-06,24,True,0.75
